model,router_mode,expert_mode,shared_mode,seed,mean_per_scenario,test_auc_all,s0_auc,s1_auc,s2_auc,s3_auc,s4_auc,s5_auc,s6_auc,s8_auc
partial-shared,suppress,encourage,suppress,42,0.6983,0.7652,0.6736,0.7122,0.7776,0.6726,0.7070,0.6536,0.7210,0.6690
partial-shared,suppress,suppress,none,42,0.7025,0.7635,0.6738,0.7103,0.7873,0.6953,0.7048,0.6486,0.7117,0.6884
partial-shared,suppress,none,none,42,0.7102,0.7664,0.6795,0.7144,0.7833,0.6837,0.7100,0.6585,0.7246,0.7275
partial-shared,suppress,suppress,encourage,42,0.7125,0.7668,0.6772,0.7148,0.7903,0.7234,0.7023,0.6405,0.7157,0.7360
partial-shared,suppress,none,encourage,42,0.6969,0.7671,0.6786,0.7154,0.7831,0.6846,0.7091,0.6346,0.7190,0.6512
partial-shared,suppress,suppress,suppress,42,0.7081,0.7648,0.6758,0.7118,0.7841,0.7148,0.7043,0.6517,0.7163,0.7062
partial-shared,suppress,none,suppress,42,0.6942,0.7660,0.6777,0.7134,0.7759,0.6575,0.7070,0.6651,0.7203,0.6367
fully-routed,none,none,none,123,0.7181,0.7681,0.6839,0.7171,0.7916,0.7259,0.7133,0.6269,0.7173,0.7683
fully-routed,suppress,none,none,123,0.7261,0.7706,0.6875,0.7190,0.7973,0.7627,0.7146,0.6371,0.7209,0.7700
fully-routed,suppress,encourage,none,123,0.7243,0.7703,0.6892,0.7190,0.7921,0.7285,0.7184,0.6532,0.7168,0.7773
fully-routed,suppress,suppress,none,123,0.7213,0.7692,0.6860,0.7185,0.7962,0.7306,0.7176,0.6550,0.7108,0.7555
partial-shared,none,none,none,123,0.7042,0.7565,0.6487,0.7001,0.7757,0.7192,0.7000,0.6646,0.7162,0.7091
partial-shared,suppress,encourage,none,123,0.7186,0.7643,0.6742,0.7108,0.7932,0.7244,0.7105,0.6733,0.7169,0.7456
fully-routed,none,none,none,456,0.7039,0.7676,0.6761,0.7171,0.7938,0.6286,0.7112,0.6747,0.7292,0.7006
partial-shared,suppress,none,encourage,123,0.7182,0.7660,0.6708,0.7138,0.7926,0.7233,0.7136,0.6748,0.7206,0.7365
fully-routed,suppress,none,none,456,0.7153,0.7720,0.6870,0.7223,0.7993,0.6233,0.7186,0.7077,0.7263,0.7379
partial-shared,none,none,encourage,123,0.7149,0.7637,0.6586,0.7118,0.7934,0.7116,0.7115,0.6863,0.7034,0.7428
fully-routed,suppress,encourage,none,456,0.7151,0.7721,0.6878,0.7215,0.7985,0.6620,0.7199,0.6922,0.7230,0.7157
partial-shared,encourage,none,suppress,123,0.6861,0.7499,0.6480,0.6895,0.7664,0.6787,0.6954,0.6644,0.7022,0.6441
fully-routed,suppress,suppress,none,456,0.7163,0.7710,0.6806,0.7206,0.7960,0.6800,0.7177,0.6817,0.7255,0.7281
fully-routed,suppress,suppress,none,456,0.7163,0.7710,0.6806,0.7206,0.7960,0.6800,0.7177,0.6817,0.7255,0.7281
partial-shared,none,none,none,456,0.7072,0.7599,0.6552,0.7064,0.7825,0.7152,0.6986,0.6576,0.7166,0.7257
partial-shared,none,none,none,456,0.7072,0.7599,0.6552,0.7064,0.7825,0.7152,0.6986,0.6576,0.7166,0.7257
partial-shared,suppress,encourage,none,456,0.7183,0.7666,0.6772,0.7149,0.7782,0.7074,0.7082,0.6744,0.7286,0.7573
partial-shared,suppress,encourage,none,456,0.7183,0.7666,0.6772,0.7149,0.7782,0.7074,0.7082,0.6744,0.7286,0.7573
partial-shared,suppress,none,encourage,456,0.7143,0.7658,0.6711,0.7133,0.7860,0.6861,0.7096,0.6639,0.7201,0.7638
